keyword,date,media,title,summary
9,"Mar 12, 2020",FinanceFeeds,"GFI Securities agrees to $50,000 fine as a part of settlement with FINRA","From November 2014 to August 2018, GFI failed to maintain a system of risk management controls and supervisory procedures to manage risks related to the provision of access to an ATS.
Broker-dealer GFI Securities LLC has agreed to pay a fine of $50,000 as a part of a settlement with the Financial Industry Regulatory Authority (FINRA).
During the Relevant Period, GFI’s customers routed equity orders to GFI’s traders, who then routed certain of those trades directly to the ARCA or NASDAQ market.
In addition, during the Relevant Period, GFI also operated an ATS, CreditMatch.
Further, during the period from November 2014 to October 2015, GFI failed to implement systematic pre-trade credit limits for its non-broker-dealer customers in CreditMatch."
9,"Dec 23, 2019",FinanceFeeds,FINRA and major Exchanges impose $6.5m fine on Credit Suisse Securities over supervisory violations,"Over the course of four years, 2010 to 2014, Credit Suisse offered its clients direct market access to numerous exchanges.
The firm executed over 300 billion shares on behalf of its direct market access clients.
Three of the firm’s direct market access clients accounted for the majority of the 50,000 alerts for potentially manipulative activity.
In settling this matter, Credit Suisse neither admitted nor denied the charges, but consented to the entry of FINRA’s and the Exchanges’ findings.
On top of the fine, Credit Suisse agrees to a censure."
9,"Nov 18, 2019",,Lessons from FINRA’s 2019 Report on Examination Findings and Observations,"The Financial Industry Regulatory Authority published its 2019 Report on Examination Findings and Observations (2019 Report) on October 16, 2019.
The 2019 Report focuses on a number of findings and observations, involving: sales practice and supervision; firm operations; market integrity; and financial management.
The 2019 Report references a lack of consistency in memorializing inspection reports in writing.
Financial ManagementThe 2019 Report focuses on liquidity and credit risk management, segregation of client assets and net capital calculations.
The 2019 Report also may foreshadow areas of focus once compliance with Regulation Best Interest is required commencing June 30, 2020."
9,"Jan 15, 2020",,FINRA publishes 2020 risk monitoring and examination priorities,"On January 9, on the heels of the SEC’s January 7 publication of the Office of Compliance and Inspections (OCIE) 2020 Examination Priorities (see our recent client alert), the Financial Industry Regulatory Authority (FINRA) released its 2020 Risk Monitoring and Examination Priorities Letter (the Priorities Letter), describing the areas on which FINRA intends to focus its risk monitoring, surveillance and examination programs in 2020.
In the first part of 2020, FINRA will review firms’ preparedness for Reg.
FINRA will assess compliance with the SEC’s Market Access Rule (Rule 15c3-5) and associated risks.
FIRM OPERATIONSFINRA will assess firms’ supervisory controls relating to customer confirmations and firms’ compliance with FINRA AML requirements.
FINRA concludes the Priorities Letter by welcoming comments regarding its priorities and suggestions on how they can be improved."
9,"Apr 25, 2018",Markets Media,Market-Access Risk Platforms Go Global,"“The most challenging part of MiFID II was the regulation’s fluidity,” Anthony Amicangioli, CEO of Hyannis Port Research, told Markets Media.
“MiFID II was ever-changing up to and through its deployment.
When European regulators drafted MiFID II and the Market Abuse Regulation, they defined them at a much higher level than its US counterpart, according to Amicangioli.
“I think MAR looks similar to Rule 15c3-5 when the SEC first introduced it,” he said.
As such, HPR has seen clients implement similar platforms across multiple geographies, according to Amicangioli."
9,"Apr 12, 2018",Finextra,Instinet fined for market access rule violations,"Source: FinraInstinet, LLC has been censured and fined a total of $1.575 million for violations of various provisions of Rule 15c3-5 of the Securities Exchange Act of 1934 (known as the Market Access Rule) and related exchange supervisory rules.
In settling this matter, Instinet neither admitted nor denied the charges but consented to the entry of FINRA’s and the Exchanges’ findings.
The Market Access Rule requires broker-dealers that provide their customers access to an exchange or alternative trading system to adequately control the financial and regulatory risks of providing such access.
Instinet provided market access to numerous clients.
The investigations that led to the actions were conducted by the Departments of Enforcement and Market Regulation at FINRA and the Exchanges."
9,"Aug 2, 2017",FTF News,Four Big Brokers Charged with Market Access Misdeeds,"The fines were assessed between May and July 2017, FINRA says.
FTF News contacted media representatives at all four firms for comment.
Interactive Brokers declined comment, as did Deutsche Bank.
A JPMorgan spokesperson offered the following statement: “We are glad to put this matter behind us.
As always, we are committed to having appropriate controls in place in order to satisfy regulatory requirements.”From Citi, there was no reply."
9,"Feb 25, 2020",,FINRA Issues 2020 Examination Priorities,"The Financial Industry Regulatory Authority published its 2020 Risk Monitoring and Examination Priorities Letter (Priorities Letter)1 on January 9, 2020.
Nevertheless, it is important to remember that the Priorities Letter is not an exhaustive list of potential examination topics for 2020.
Following the compliance date, FINRA, as well as the SEC, will review firms’ compliance with Regulation Best Interest and Form CRS.
Communications with the PublicFINRA will continue to examine firms’ compliance with their obligations regarding communications with the public under FINRA Rule 2210 and related regulations.
Sales of IPO SharesA new priority in 2020, FINRA will focus on firms’ compliance with FINRA Rules 5130 (Restrictions on the Purchase and Sale of Initial Equity Public Offerings) and 5131 (New Issue Allocations and Distributions)."
9,"Apr 15, 2018",Lexology,Broker-Dealer Sanctioned US $1.575 Million by FINRA and Other SROs for Market Access Rule Violations,"Last week, a broker-dealer was fined US $1.575 million by the Financial Industry Regulatory Authority and other self-regulatory organizations for not complying with market access requirements for gatekeepers.
(Click here to access Reg MAR, Rule 15c3-5.)
Earlier this year, FINRA indicated that compliance with Reg MAR would be a focus of its 2018 examination of members.
Both the SEC and FINRA offer extensive resources to help broker-dealers comply with their obligations under Reg MAR.
(Click here to access the SEC’s Answers to Frequently Asked Questions related to Reg MAR and here to accessReport on FINRA’s Examination Findings (December 2017), section of Market Access Controls (pages 9-10).)"
9,"Jan 27, 2020",JD Supra,Broker-Dealer 2019 Regulatory Year in Review,"In 2019, broker-dealers did not have to contend with many significant new rules or amendments, but there was still plenty of regulatory activity.
Here is a high-level summary of notable broker-dealer regulatory developments for 2019.
FINRA Rule 4210 – Margin Requirements (Effective March 25, 2020) – The amendment establishes margin requirements for Covered Agency Transactions (Note: The initial effective date was March 25, 2019, but has been delayed until March 25, 2020).
Additional Reg BI & Form CRS Information:Key Regulatory StatisticsFINRA membership and reported disciplinary actions in 2019 were in line with the numbers we saw in 2018.
2The data for 2019 (except for Registered Reps & Member Firms data obtained from FINRA) was obtained from FINRA’s Monthly Disciplinary Actions reports."
