category,keyword,date,media,title,summary
violation,accounting fraud,"Feb 3, 2020",CNN,"Bernard Ebbers, former WorldCom CEO who went to prison in massive accounting fraud case, is dead","New York (CNN Business) Bernard Ebbers, the former CEO of WorldCom, who went to prison in 2006 for his role in an $11 billion accounting fraud case, has died.
His death Sunday was confirmed by a statement from his daughter Joy Ebbers Bourne.
Ebbers had been granted an early release from prison due to poor health in December after serving just over 13 years of a 25-year sentence.
Ebbers was found guilty in 2005 of conspiracy, securities fraud and filing false statements in the case that brought down what was then the nation's No.
In her statement, Ebbers' daughter said that her father died surrounded by family members."
violation,accounting fraud,"Feb 4, 2020",,WorldCom chief dies after accounting fraud jail term,"The former CEO of WorldCom, who was sentenced to 25 years over an $11bn (£8.4bn) accounting fraud, has died shortly after leaving prisonBernie Ebbers was involved in the biggest accounting scandal and bankruptcy in US history when he was head of telecoms giant WorldCom.
The company’s auditor Arthur Andersen signed off the accounts for year end 2001 shortly before WorldCom filed for bankruptcy in July 2002.
As early as 1999 and 2000, WorldCom had reduced its reported line costs by approximately $3.3bn.
It had the effect of providing an offset against reported line costs in the period when the accrual was released.
At the trial prosecutors argued that Ebbers allowed the accounting fraud in order to protect his own wealth which was built mainly on WorldCom stock."
violation,accounting fraud,"In-Depth · Feb 3, 2020",Washington Post,"Bernard Ebbers, WorldCom CEO convicted in historic fraud scandal, dies at 78","Mr. Ebbers, who was convicted in 2005, had been released early from federal prison in December after serving more than 13 years of his 25-year sentence.
Mr. Ebbers, who denied playing any role in the accounting fraud, was among the most prominent executives convicted during that period and received the most severe sentence.
ADAD“Before him,” Bagley added, “CEOs often were able to get off the hook,” notably by using a line of argument Mr. Ebbers deployed throughout his career.
Competitors slashed prices and cut costs, laying off thousands of workers while struggling to keep pace with Mr. Ebbers’s buying binge.
It became LDDS, with Mr. Ebbers installed as chief executive in 1985."
violation,accounting fraud,"Apr 6, 2020",Motley Fool,Investing Lessons From the Luckin Coffee Accounting Fraud Debacle,"Be careful with Chinese stocks and other emerging-markets stocksNotice I didn't say, ""Avoid Chinese stocks altogether.""
That means investing in young companies there can be risky, and subject to potential pitfalls such as Luckin's.
For instance, short-seller Jim Chanos recently cautioned against investing in Chinese stocks, and has been bearish on China for a long time.
Be careful with unreal-looking growth numbersThough young companies often post excitingly high growth numbers, Luckin was a standout even in that respect.
When legitimate growth companies are posting incredible-sounding growth rates, even if it's not a fraud, it is really, really hard to keep that up for many years."
violation,accounting fraud,"Apr 7, 2020",Investment U,Can Luckin Coffee Stock Recover From Accounting Fraud?,"Investment Opportunities Can Luckin Coffee Stock Recover From Accounting Fraud?
But even in America, investors in Luckin Coffee stock know the brand well.
But after some nasty headlines about accounting fraud at the company this past week, Luckin Coffee stock took a major tumble.
pic.twitter.com/mubSvmZbQU — Tanay Jaipuria (@tanayj) April 4, 2020The Luckin Coffee Stock ForecastObviously, this has been a rough week for Luckin Coffee’s stock.
Regardless, investing in Luckin Coffee stock isn’t the safest play right now, even in the discount bin."
violation,accounting fraud,"Apr 7, 2020",KrASIA,Uncovering the World's Emerging Markets,
violation,accounting fraud,"May 12, 2020",Axios,Chinese Starbucks rival Luckin Coffee fires CEO and COO for fraud,"Luckin Coffee, a Chinese rival to Starbucks that went public in the U.S. last year at a $4.3 billion valuation, fired both CEO Jenny Zhiya Qian and COO Jian Liu on Tuesday after an investigation into accounting fraud.
It also has sparked major due diligence questions for the Wall Street banks that led both Luckin's IPO and its subsequent offerings.
The company also placed six other employees on leave as a result of the investigation.
After considering such information, the Board has terminated Ms. Jenny Zhiya Qian and Mr. Jian Liu from the positions of the Chief Executive Officer and the Chief Operating Officer, respectively.
The Board also demanded and received from Ms. Qian and Mr. Liu their resignations from the Board."
violation,accounting fraud,"Apr 7, 2020",Bloomberg,Two Accounting Scandals in China in One Week Burn Investors,"TAL Education Group, a tutoring business whose success turned founder Zhang Bangxin into one of China’s richest people, delivered the latest bombshell on Tuesday after saying a routine internal audit found an employee had inflated sales by forging contracts.
Accounting firm Ernst & Young later said it discovered the fabrications when it audited the firm’s financial statements.
Hope Education Group Co. fell 3.3% in Hong Kong Wednesday, while CAR Inc., a car-rental firm founded by Luckin’s chairman, dropped another 17%.
The declines vindicate short sellers like Carson Block’s Muddy Waters, which has for years targeted Chinese firms listed on U.S. exchanges.
Muddy Waters assisted Wolfpack in its research and said it’s also short the company."
violation,accounting fraud,"Jul 31, 2020",,China says to penalise Luckin Coffee for accounting fraud,"The Ministry of Finance, which began an investigation into Luckin Coffee (China) and Luckin Coffee (Beijing) in early May, found Luckin booked 2.25 billion yuan ($322.60 million) of sales through fake coupons from April 2019 to the end of last year, it said in a statement on its website on Friday.
It also found Luckin inflated sales by 2.12 billion yuan during the period, while costs were inflated by 1.2 billion yuan and profits by 908 million yuan.
The China Securities Regulatory Commission (CSRC) said in April that it had initiated talks to cooperate with the SEC on a possible investigation into Luckin.
Luckin wound up an internal probe earlier this month that found the company's revenue was inflated by around 2.12 billion yuan in 2019.
During the investigation, Luckin sacked its CEO and COO, executives who had previously held top positions at Chairman Charles Lu's other firms."
violation,accounting fraud,"Jan 13, 2020",Accounting Today,German payment processor's chair resigns amid of accounting controversy,"Wirecard AG chairman Wulf Matthias resigned after months of controversy over the German digital payments company’s accounting practices.
Matthias stepped down as chairman of the supervisory board for personal reasons, and will be replaced by Thomas Eichelmann, the Aschheim, Germany-based company said Friday in a statement.
The concerns relate to Wirecard’s Singapore operations.
Eichelmann was a member of Wirecard’s supervisory board and head of the body’s audit committee.
The role of the supervisory board “is key,” especially in Wirecard’s case, according to Neil Campling, an analyst at Mirabaud Securities."
