website,time,link,title,summary
SEC,2020-11-02T11:35:00Z,https://www.sec.gov/news/press-release/2020-273,SEC Harmonizes and Improves “Patchwork” Exempt Offering Framework,"Today’s amendments are the next step in the Commission’s efforts to improve the exempt offering framework for the benefit of investors, emerging companies, and more seasoned issuers.
The amendments address gaps and complexities in the exempt offering framework that impede access to capital for issuers and access to investment opportunities for investors.
“For many small and medium-sized business, our exempt offering framework is the only viable channel for raising capital.
This can be a critical step on the path to an initial public offering and navigating that path has required navigating the complex exempt offering framework.
In March 2020, the Commission issued proposed amendments and solicited public comment on its proposals to simplify, harmonize, and improve the exempt offering framework under the Securities Act."
SEC,2020-10-29T16:00:50Z,https://www.sec.gov/news/press-release/2020-272,SEC Issues Agenda for Nov. 5 Special Meeting of the Asset Management Advisory Committee,"FOR IMMEDIATE RELEASE2020-272The Securities and Exchange Commission today released the agenda for the Nov. 5, 2020, special meeting of the Asset Management Advisory Committee (AMAC).
AMAC was formed to provide the Commission with diverse perspectives on asset management and related advice and recommendations.
At the meeting, AMAC will consider recommendations concerning COVID-19 related operational issues, which may include electronic delivery, remote work, e-authorization, and dematerialization.
Paper submissions:Send paper submissions in triplicate to Secretary, Securities and Exchange Commission, 100 F Street NE, Washington, D.C. 20549-1090.
* * *Asset Management Advisory Committee – Agenda for November 5, 2020 Meeting"
SEC,2020-10-29T13:30:25Z,https://www.sec.gov/news/press-release/2020-271,"Raquel Fox, Director of the Office of International Affairs, to Depart SEC","FOR IMMEDIATE RELEASE2020-271The Securities and Exchange Commission today announced that Raquel Fox, Director of the Office of International Affairs, will leave the agency in November.
“Under Raquel’s remarkable leadership, the Office of International Affairs has significantly improved our international engagement on both supervisory and enforcement matters.
Advised the Chairman on regulatory policies and investor protection initiatives related to emerging markets, including China.
Advised the Chairman on regulatory policies and investor protection initiatives related to emerging markets, including China.
Upon Ms. Fox’s departure, Kathleen Hutchinson, Deputy Director of the Office of International Affairs, will assume the role of Acting Director."
SEC,2020-10-29T13:01:00Z,https://www.sec.gov/news/press-release/2020-270,SEC Awards Over $10 Million to Whistleblower,"FOR IMMEDIATE RELEASE2020-270The Securities and Exchange Commission today announced an award of over $10 million to a whistleblower whose information prompted the opening of an investigation and provided substantial, ongoing assistance to SEC staff throughout the investigation.
In more than a dozen communications with the staff, the whistleblower provided key evidence, helped decipher communications, and distilled complex issues.
The SEC has awarded approximately $687 million to 109 individuals since issuing its first award in 2012.
No money has been taken or withheld from harmed investors to pay whistleblower awards.
Whistleblower awards can range from 10-30% of the money collected when the monetary sanctions exceed $1 million."
SEC,2020-10-28T11:15:34Z,https://www.sec.gov/news/press-release/2020-269,SEC Adopts Modernized Regulatory Framework for Derivatives Use by Registered Funds and Business Development Companies,"FOR IMMEDIATE RELEASE2020-269The Securities and Exchange Commission today voted to enhance the regulatory framework for derivatives use by registered investment companies, including mutual funds (other than money market funds), exchange-traded funds (ETFs) and closed-end funds, as well as business development companies.
“Today’s action provides for a comprehensive framework for funds’ derivatives use that provides both meaningful protections for investors and regulatory certainty for funds and their advisers.
The fund’s derivatives risk manager will have to report to the fund’s board on the derivatives risk management program’s implementation and effectiveness to facilitate the board’s oversight of the fund’s derivatives risk management.
Funds currently required to file reports on Forms N-PORT and N-CEN will be required to provide certain information regarding a fund’s derivatives use.
This will include information regarding the fund’s VaR, as applicable, and information about the fund’s derivatives exposure (for funds that rely on the limited derivatives user exception in rule 18f-4)."
SEC,2020-10-27T13:30:00Z,https://www.sec.gov/news/press-release/2020-268,Division of Corporation Finance Director Bill Hinman Announces Intention to Conclude His Tenure Later This Year,"Mr. Hinman also guided the Division and the agency in addressing emerging issues and providing timely guidance to market participants.
Mr. Hinman led the Commission’s work to extend to all companies the JOBS Act’s “test-the-waters” accommodation previously available only to emerging growth companies.
Providing guidance on emerging issuesDuring Mr. Hinman’s tenure, the Division issued guidance on a number of emerging issues.
Prior to joining Simpson Thacher, Mr. Hinman was the managing partner of Shearman & Sterling’s San Francisco and Menlo Park offices.
Upon Mr. Hinman’s departure, Shelley Parratt will serve as Acting Director of the Division of Corporation Finance."
SEC,2020-10-23T12:41:00Z,https://www.sec.gov/news/press-release/2020-267,SEC Charges Day-Trading Education Firm for Unregistered Security-Based Swap Transactions,"As set forth in the order, Tradenet charged from $500 to $9,000 for the educational packages that included the simulated trading accounts.
The SEC’s order finds that the contracts to provide funded trading accounts were security-based swaps under the U.S. federal securities laws.
The SEC’s order further finds that no registration statement had been filed for the swaps, and that the swaps were not sold through a national securities exchange.
“We will continue to watch the market for unregistered offerings of security-based swaps.”The SEC’s order finds that Tradenet violated provisions of the federal securities laws concerning unregistered offers and sales of security-based swaps and requiring that certain swap transactions occur on a registered national exchange.
Without admitting or denying the findings in the order, Tradenet consented to a cease-and-desist order and agreed to pay a penalty of $130,000."
SEC,2020-10-22T14:05:00Z,https://www.sec.gov/news/press-release/2020-266,SEC Issues Record $114 Million Whistleblower Award,"FOR IMMEDIATE RELEASE2020-266The Securities and Exchange Commission today announced an award of over $114 million to a whistleblower whose information and assistance led to the successful enforcement of SEC and related actions.
The $114 million award consists of an approximately $52 million award in connection with the SEC case and an approximately $62 million award arising out of the related actions by another agency.
The combined $114 million reward marks the highest award in the program’s history, and eclipses the next highest award of $50 million made to an individual in June 2020.
“Today’s milestone award is a testament to the Commission’s commitment to award whistleblowers who provide the agency with high-quality information,” said SEC Chairman Jay Clayton.
Whistleblower awards can range from 10 percent to 30 percent of the money collected when the monetary sanctions exceed $1 million."
SEC,2020-10-22T12:01:00Z,https://www.sec.gov/news/press-release/2020-265,SEC Charges Goldman Sachs With FCPA Violations,"According to the SEC’s order, beginning in 2012, former senior employees of Goldman Sachs used a third-party intermediary to bribe high-ranking government officials in Malaysia and the Emirate of Abu Dhabi.
The order finds that these bribes enabled Goldman Sachs to obtain lucrative business from 1MDB, a Malaysian government-owned investment fund, including underwriting approximately $6.5 billion in bond offerings.
The SEC’s order finds that Goldman Sachs violated the anti-bribery, internal accounting controls, and books and records provisions of the federal securities laws.
In December 2019, the SEC charged former Goldman Sachs Group Inc. participating managing director Tim Leissner for his role in the 1MDB bribery scheme.
The SEC’s investigation was conducted by Eric Heining and Paul G. Block of the FCPA Unit and Mark Albers and Martin Healey of the Boston Regional Office."
SEC,2020-10-22T11:47:11Z,https://www.sec.gov/news/press-release/2020-264,"At Joint Open Meeting, SEC and CFTC Approve Final Rule on Security Futures Margin and Request for Comment on Portfolio Margining","“Today’s final rule represents an important example of our long history of cooperation regarding the joint regulation of security futures.
Highlights of the ActionThe Commissions have joint rulemaking authority regarding margin requirements for security futures.
Portfolio margining of uncleared swaps, non-cleared security-based swaps, and related positions can offer benefits to customers and the markets, including promoting greater efficiencies in margin calculations with respect to offsetting positions.
At the same time, facilitating portfolio margining for uncleared swaps, non-cleared security-based swaps, and related positions requires careful consideration to ensure that any customer protection and applicable regulatory issues and potential impacts are appropriately considered and addressed.
Regulation of Non-Cleared Security-based Swaps and Uncleared SwapsUnder the Dodd-Frank Act, the CFTC has jurisdiction over uncleared swaps and the SEC has jurisdiction over non-cleared security-based swaps."
