Website,Headline,Link,Paragraph,Image URL,Timestamp,Summary,Topic
Compliance Week,Nikola discloses subpoenas over fraud allegations,https://www.complianceweek.com/regulatory-enforcement/nikola-discloses-subpoenas-over-fraud-allegations/29712.article,,,2020-11-11T20:27:00+00:00,"Electric truck startup Nikola disclosed in a regulatory filing Monday it has received subpoenas from the Securities and Exchange Commission and the Department of Justice regarding fraud allegations raised in a short-seller report in early September.
“We believe Nikola is an intricate fraud built on dozens of lies over the course of its Founder and Executive Chairman Trevor Milton’s career,” the Hindenburg report states, alleging that Nikola has made false statements about its technology in order to boost its value.
Milton has since resigned his post as executive chairman and was replaced by former General Motors Vice Chairman Stephen Girsky.
Nikola has vehemently denied the allegations raised in the Hindenburg report, but it wasn’t enough to stop the company’s stock from dropping nearly 50 percent in just over a week.
The company has also had putative five class-action lawsuits filed against it in the wake of the report, according to its regulatory filing.",Regulatory Enforcement
Compliance Week,"BA, Marriott fine reductions latest wrench in GDPR enforcement harmony",https://www.complianceweek.com/gdpr/ba-marriott-fine-reductions-latest-wrench-in-gdpr-enforcement-harmony/29706.article,,,2020-11-10T18:03:00+00:00,,Regulatory Enforcement
Compliance Week,Pfizer facing FCPA probes into China operations,https://www.complianceweek.com/anti-corruption/pfizer-facing-fcpa-probes-into-china-operations/29705.article,,,2020-11-09T20:21:00+00:00,"Pharmaceutical firm Pfizer announced in a recent regulatory filing that it has received requests from the Department of Justice and the Securities and Exchange Commission regarding the company’s operations in China.
In a third-quarter report filed Nov. 5, Pfizer said it “received an informal request” from the Department of Justice’s Foreign Corrupt Practices Act (FCPA) Unit “seeking documents relating to our operations in China” in June 2020.
The firm said it received a similar request from the SEC’s FCPA Unit in August, and that it is “producing records pursuant to these requests.”Pfizer said it is also producing records in response to other informal requests from these agencies’ FCPA Units, which it received in June 2019 (DOJ) and September 2019 (SEC) relating to operations in Russia.",Regulatory Enforcement
Compliance Week,Julius Baer reserves $80M for FIFA corruption settlement,https://www.complianceweek.com/anti-corruption/julius-baer-reserves-80m-for-fifa-corruption-settlement/29703.article,,,2020-11-09T20:07:00+00:00,"Julius Baer announced Monday it has set aside nearly $80 million in a proposed settlement with the Department of Justice regarding the agency’s corruption investigation linked to world soccer federation FIFA.
Under the terms of the settlement, Julius Baer is also expected to enter a three-year deferred prosecution agreement.
The DOJ launched its investigation in 2015 following allegations of money laundering and corruption involving officials and affiliates of FIFA and associated sports media and marketing companies.
In that investigation, FINMA uncovered several compliance shortcomings at Julius Baer, including lax KYC processes; due diligence failures; transactions that were insufficiently queried; misplaced incentives that encouraged breaches of legal obligations to combat money laundering; and systemic cultural issues.
Julius Baer said it is remediating the shortcomings that were identified.",Regulatory Enforcement
Compliance Week,"CFPB under Biden will likely get new director, new direction",https://www.complianceweek.com/regulatory-policy/cfpb-under-biden-will-likely-get-new-director-new-direction/29699.article,,,2020-11-09T14:17:00+00:00,"The Consumer Financial Protection Bureau (CFPB) is likely to revert to its more aggressive, Obama-era version of itself under a Biden administration.
Biden’s CFPB priorities will likely be guided in some manner by former director Richard Cordray, as well as Sen. Elizabeth Warren (Mass.
If Republicans maintain control of the Senate, which seems likely, Biden will find himself hamstrung on his ability to pass laws on banking and securities regulations, employment law, and more.
Biden’s CFPB priorities will likely be guided in some manner by Cordray, as well as Sen. Elizabeth Warren (Mass.
Biden’s campaign materials talk a lot about fair lending practices in the financial industry, particularly as it relates to race.",Regulatory Enforcement
Compliance Week,JPMorgan Chase facing potential fine for internal control deficiencies,https://www.complianceweek.com/regulatory-enforcement/jpmorgan-chase-facing-potential-fine-for-internal-control-deficiencies/29693.article,,,2020-11-04T19:04:00+00:00,"A subsidiary of JPMorgan Chase is facing a potential civil penalty “related to historical deficiencies in internal controls and internal audit over certain advisory and other activities.”JPMorgan Chase Bank N.A.
was alerted to the potential fine by one of its U.S. regulators, which is unnamed in the Monday quarterly filing with the Securities and Exchange Commission.
JPMorgan said the bank “already has controls in place to address the deficiencies related to the proposed penalty.”JPMorgan said it is currently engaged in resolution discussions with the regulator, but “[t]here is no assurance that such discussions will result in resolution.”In September, JPMorgan agreed to pay more than $920 million as part of an agreement with three federal agencies—the Commodity Futures Trading Commission, the SEC, and the Department of Justice—to settle allegations that the firm’s traders manipulated the precious metals markets with false trades, an illegal practice called “spoofing.”",Regulatory Enforcement
Compliance Week,California accounting board fines KPMG $1.3M for cheating scandal,https://www.complianceweek.com/regulatory-enforcement/california-accounting-board-fines-kpmg-13m-for-cheating-scandal/29683.article,,,2020-11-03T17:12:00+00:00,"The KPMG cheating scandal has come back to bite the Big Four audit firm yet again in the form of a $1.3 million penalty handed down by the state of California and its Board of Accountancy (CBA) on Monday.
The SEC had charged KPMG with altering audit information after illegally obtaining inspection results from the Public Company Accounting Oversight Board (PCAOB), in addition to finding KPMG audit professionals had been cheating and sharing answers on internal training exams.
Many of the audit professionals involved in the exam cheating are or were based in California, the CBA noted.
David Britt and Brian Sweet, two of the individuals central to the PCAOB scandal, were licensed by the CBA, and the scheme was executed through PCAOB personnel in California, including Jeffrey Wada.
The audit firm must also develop coursework on the subject of ethics that must be made available to all California CPAs at no cost.",Regulatory Enforcement
Compliance Week,"In second drastic reduction, ICO fines Marriott $23.8M",https://www.complianceweek.com/regulatory-enforcement/in-second-drastic-reduction-ico-fines-marriott-238m/29674.article,,,2020-10-30T19:44:00+00:00,"The U.K.’s data regulator on Friday fined hotel group Marriott International £18.4 million (U.S. $23.8 million) under the EU’s data protection rules for failing to keep millions of customers’ personal data secure.
The Marriott fine is the second-highest the ICO has handed out under the GDPR following the £20 million (U.S. $26 million) penalty it hit British Airways with just two weeks ago.
The ICO also considered the economic impact of COVID-19 on Marriott’s business before setting a final penalty.
Marriott has not admitted liability for the breach but has said it does not intend to appeal the ICO’s decision.
Following the announcement of BA’s fine, lawyers say the cut in the size of the Marriott penalty was hardly surprising if the ICO wanted to show consistency.",Regulatory Enforcement
Compliance Week,"Airline Services Ltd to pay $3.9M, agrees to DPA in bribery case",https://www.complianceweek.com/regulatory-enforcement/airline-services-ltd-to-pay-39m-agrees-to-dpa-in-bribery-case/29670.article,,,2020-10-30T18:14:00+00:00,"Airline Services Limited (ASL) entered into a deferred prosecution agreement (DPA) with the SFO on Friday in which it accepted responsibility for failing to prevent bribery regarding contracts with German airline Lufthansa that ASL obtained through anti-competitive bidding practices.
The fines were partly offset, the SFO said, because ASL self-reported the bribery violations in 2015 and cooperated with investigators.
But the SFO also noted ASL solicited and received recommendations from external legal advisors in 2010 about how it should comply with the country’s Bribery Act 2010.
“In short, ASL Agent 1 was working both for the supplier, ASL, and the customer, Lufthansa,” according to the case’s statement of facts.
ASL’s aforementioned external review into its compliance with the Bribery Act 2010 identified a small number of overseas agents “represented a high bribery risk to ASL” and made a number of recommendations.",Regulatory Enforcement
Compliance Week,GE reserves $100M for potential SEC accounting enforcement,https://www.complianceweek.com/regulatory-enforcement/ge-reserves-100m-for-potential-sec-accounting-enforcement/29666.article,,,2020-10-29T18:39:00+00:00,"GE says it has been cooperating with an SEC investigation into legacy matters related to long-term service agreements, GE Capital’s run-off insurance operations, and a 2018 goodwill impairment charge related to GE’s Power business.
GE revealed in 2018 that it was being investigated by the SEC over its accounting practices after a $6.2 billion charge in late 2017 stemming from its GE Capital insurance portfolio.
Last month, SEC staff issued a “Wells Notice” in connection with the portion of its ongoing investigation related to GE Capital’s run-off insurance operations.
A Wells Notice indicates SEC staff have made a preliminary determination suggesting enforcement action against an entity or individual; it is not a formal charge, nor does it represent a final determination.
“The staff has not made a preliminary decision whether to recommend any action with respect to the other matters under investigation,” GE said at the time.",Regulatory Enforcement
